Time (s),Voltage,Current
16860,26.659240000000008,31.19900000000004
16920,26.683239999999998,31.19900000000004
16980,26.707404040404054,31.19900000000004
17040,26.73224000000001,31.19900000000004
17100,26.757729999999995,31.19900000000004
17160,26.78175757575758,31.19900000000004
17220,26.804777777777765,31.19900000000004
17280,26.83025999999999,31.19900000000004
17340,26.854589999999977,31.19900000000004
17400,26.878888888888905,31.19900000000004
17460,26.903939393939407,31.19900000000004
17520,26.930089999999996,31.19900000000004
17580,26.955230000000007,31.19900000000004
17640,26.979930000000003,31.19900000000004
17700,27.006545454545446,31.19900000000004
17760,27.031170000000017,31.19900000000004
17820,27.057750000000024,31.19900000000004
17880,27.085050505050507,31.19900000000004
17940,27.10953000000001,31.19900000000004
18000,27.133989898989906,31.19900000000004
18060,27.162549999999992,31.19900000000004
18120,27.18882999999999,31.19900000000004
18180,27.215040404040415,31.19900000000004
18240,27.242333333333338,31.19900000000004
18300,27.269109999999987,31.19900000000004
18360,27.29609090909093,31.19900000000004
18420,27.32464,31.19900000000004
18480,27.352460000000004,31.19900000000004
18540,27.379878787878795,31.19900000000004
18600,27.408049999999992,31.19900000000004
18660,27.436757575757575,31.19900000000004
18720,27.464570000000023,31.19900000000004
18780,27.49259595959597,31.19900000000004
18840,27.52214141414142,31.19900000000004
18900,27.552439999999986,31.19900000000004
18960,27.580979797979797,31.19900000000004
19020,27.61164646464645,31.19900000000004
19080,27.642679999999988,31.19900000000004
19140,27.671707070707072,31.19900000000004
19200,27.702020202020222,31.19900000000004
19260,27.734880000000004,31.19900000000004
19320,27.768849999999993,31.19900000000004
19380,27.799868686868695,31.19900000000004
19440,27.833579999999994,31.19900000000004
19500,27.86702020202022,31.19900000000004
19560,27.90138999999998,31.19900000000004
19620,27.935999999999993,31.19900000000004
19680,27.968580000000017,31.19900000000004
19740,28.00637373737373,31.19900000000004
19800,28.043818181818185,31.19900000000004
19860,28.07842,31.19900000000004
19920,28.11658999999999,31.19900000000004
19980,28.155222222222214,31.19900000000004
20040,28.19248484848485,31.19900000000004
20100,28.23355,31.19900000000004
20160,28.276069999999994,31.19900000000004
20220,28.317000000000004,31.19900000000004
20280,28.358121212121215,31.19900000000004
20340,28.404049999999987,31.19900000000004
20400,28.449110000000008,31.19900000000004
20460,27.18033131313131,6.629176767676773
20520,24.622890909090916,-31.192864646464653
20580,24.55045555555555,-31.192639393939423
20640,24.516573000000005,-31.197977000000048
20700,24.473315999999997,-31.20446700000005
20760,24.42781515151515,-31.208144444444482
20820,24.381067,-31.210276999999984
20880,24.339375,-31.21129799999997
20940,24.30054545454545,-31.2120878787879
21000,24.256366000000003,-31.212355000000024
21060,24.211368000000007,-31.212366000000028
21120,24.173545000000004,-31.212542000000035
21180,24.13500909090909,-31.21296666666671
